Date,Open,High,Low,Close
2020-02-12,31487.55,31493.95,31487.55,31492.9
2020-02-13,31200.35,31230.25,31200.35,31230.25
2020-02-14,30855.05,30855.05,30834.8,30834.8
2020-02-17,30704.4,30704.4,30680.7,30680.7
2020-02-18,30600.75,30600.75,30562.5,30562.5
2020-02-19,30845.5,30845.5,30835.05,30838.2
2020-02-20,30946.55,30946.55,30939.75,30942.85
2020-02-24,30469.2,30469.2,30455.1,30455.1
2020-02-25,30461.8,30461.8,30432.7,30432.7
2020-02-26,30311.45,30317.3,30306.85,30306.85
2020-02-27,30168.9,30187,30168.9,30187
2020-02-28,29184.25,29184.25,29147.15,29147.15
2020-03-02,28919.95,28919.95,28868.4,28868.4
2020-03-03,29227.2,29227.2,29177.05,29177.05
2020-03-04,28668.85,28668.85,28653.7,28653.7
2020-03-05,28780.7,28815.35,28780.7,28815.35
2020-03-06,27773.6,27801.45,27771.1,27801.45
2020-03-09,26449.6,26462.6,26439.5,26462.6
2020-03-11,26439.75,26487.8,26439.75,26487.8
2020-03-12,24164,24164,23971.15,23971.15
2020-03-13,25325.15,25325.15,25166.45,25166.45
2020-03-16,23087.75,23101.15,23075.75,23101.15
2020-03-17,22122.05,22155.15,22122.05,22155.15
2020-03-18,20795.2,20795.2,20580.2,20580.2
2020-03-19,20082.75,20084.35,20076.7,20083.5
2020-03-20,20278.7,20317.6,20278.7,20317.6
2020-03-23,16955.05,16955.05,16917.65,16917.65
2020-03-24,17221.9,17221.9,17107.3,17107.3
2020-03-25,18503.3,18503.3,18481.05,18481.05
2020-03-26,19656.85,19656.85,19613.9,19613.9
2020-03-27,19931.9,19969,19913.25,19969
2020-03-30,18787.35,18791.95,18782.4,18782.4
2020-03-31,19075.9,19144,19070.3,19144
2020-04-01,18198.1,18218.05,18198.1,18208.35
2020-04-03,17251.8,17255.4,17249.3,17249.3
2020-04-07,19070.65,19070.65,19054.6,19062.5
2020-04-08,18931.4,18946.45,18928.7,18946.45
2020-04-09,19880.25,19913.6,19880.25,19913.6
2020-04-13,19520.55,19520.55,19488,19488
2020-04-15,19100.4,19100.4,19057.05,19057.05
2020-04-16,19484.75,19484.75,19400,19400
2020-04-17,20721.95,20721.95,20676.7,20681.45
2020-04-20,20494,20522.65,20494,20522.65
2020-04-21,19364.7,19412.15,19364.7,19409.35
2020-04-22,19725.15,19725.15,19691.8,19701.85
2020-04-23,20208,20267.95,20208,20267.95
2020-04-24,19631.95,19631.95,19586.65,19586.65
2020-04-27,20062.2,20084.1,20062.2,20081.15
2020-04-28,20741.1,20741.1,20671.1,20671.1
2020-04-29,20989.4,21090.2,20989.4,21090.2
2020-04-30,21485.65,21534.5,21485.3,21534.5
2020-05-04,19815.05,19815.05,19743.75,19743.75
2020-05-05,19326.2,19326.2,19271.75,19271.75
2020-05-06,19762,19762,19694.55,19694.55
2020-05-07,19532.85,19532.85,19491.8,19491.8
2020-05-08,19345.7,19356.5,19337.85,19352.9
2020-05-11,18978.85,18978.85,18947.5,18950.5
2020-05-12,18891.6,18893.1,18862.85,18862.85
2020-05-13,19645.9,19645.9,19634.95,19634.95
2020-05-14,19089.55,19089.55,19068.5,19068.5
2020-05-15,18826.3,18833.95,18825.55,18833.95
2020-05-18,17630.05,17630.05,17573.2,17573.2
2020-05-19,17519.45,17519.45,17486.25,17486.25
2020-05-20,17922.6,17922.6,17840.2,17840.2
2020-05-21,17737.7,17739.8,17735.1,17735.1
2020-05-22,17340.8,17340.8,17278.9,17278.9
2020-05-26,17500.15,17500.15,17440.35,17440.35
2020-05-27,18713.45,18713.45,18710.55,18710.55
2020-05-28,19157.1,19169.8,19157.1,19169.8
2020-05-29,19217.9,19297.25,19217.9,19297.25
2020-06-01,19910.85,19959.9,19910.85,19959.9
2020-06-02,20606.7,20606.7,20530.2,20530.2
2020-06-03,20923.4,20940.7,20923.4,20940.7
2020-06-04,20370.55,20399.15,20370.2,20390.45
2020-06-05,21153.85,21153.85,21034.5,21034.5
2020-06-08,21215.5,21215.5,21183.7,21187.35
2020-06-09,20654.15,20724.9,20654.15,20724.9
2020-06-10,21226.1,21226.1,21100.1,21100.1
2020-06-11,20538.45,20538.45,20525.15,20525.15
2020-06-12,20589.3,20654.55,20589.3,20654.55
2020-06-15,19923.85,19926.1,19912.9,19912.9
2020-06-16,20258.75,20296.7,20258.75,20296.7
2020-06-17,20188.85,20201.75,20188.85,20201.75
2020-06-18,20927.2,20956.3,20927.2,20956.3
2020-06-19,21340,21340,21338.1,21338.1
2020-06-22,21726.6,21726.6,21708.35,21708.35
2020-06-23,22307.85,22307.85,22264.9,22264.9
2020-06-24,21452.9,21452.9,21426.8,21426.8
2020-06-25,21536.05,21551.8,21506.15,21506.15
2020-06-26,21637.2,21637.2,21592.05,21592.05
2020-06-29,21359.95,21362.55,21359,21359
2020-06-30,21397.1,21397.1,21370.15,21370.15
2020-07-01,21921.5,21977.6,21921.5,21977.6
2020-07-02,21985.55,21985.55,21953.2,21953.2
2020-07-03,21861.25,21861.25,21851.5,21852.4
2020-07-06,22199.35,22199.35,22196.55,22198.95
2020-07-07,22576.25,22628,22576.25,22628
2020-07-08,22571.2,22584.65,22571.2,22584.65
2020-07-09,22949.1,22949.1,22907.2,22907.2
2020-07-10,22401.95,22403.9,22398.45,22398.45
2020-07-13,22122.5,22122.5,22089.25,22089.25
2020-07-14,21425.25,21425.25,21392.2,21392.2
2020-07-15,21417.4,21417.4,21340.75,21340.75
2020-07-16,21565.55,21597.15,21565.55,21597.15
2020-07-17,22040.75,22040.75,21966.8,21966.8
2020-07-20,22283.65,22321.85,22280.4,22321.85
2020-07-21,22792.7,22792.7,22782,22782
2020-07-22,22884.25,22904.65,22882.6,22882.6
2020-07-23,23109.8,23109.8,23083.9,23083.9
2020-07-24,22673.8,22673.8,22661.05,22662.05
2020-07-27,21857.9,21857.9,21848.75,21848.75
2020-07-28,22081.05,22105.2,22081.05,22105.2
2020-07-29,22069.1,22076.6,22064.7,22076.6
2020-07-30,21665.55,21665.55,21646.85,21646.85
2020-07-31,21653.4,21653.4,21635.25,21640.05
2020-08-03,21113.7,21113.7,21072.1,21072.1
2020-08-04,21492.15,21493.7,21490.5,21490.5
2020-08-05,21542.55,21542.55,21509.95,21509.95
2020-08-06,21660.55,21660.55,21642.6,21642.6
2020-08-07,21754.05,21754.2,21753.2,21754
2020-08-10,21924.5,21924.5,21899,21900.25
2020-08-11,22247.65,22247.65,22227.2,22227.2
2020-08-12,22235.65,22265.15,22235.65,22264
2020-08-13,22230,22230,22196.35,22196.35
2020-08-14,21688.8,21688.8,21679.4,21679.4
2020-08-17,21746.45,21746.45,21700.85,21700.85
2020-08-18,22163,22171.05,22163,22170.6
2020-08-19,22296.75,22296.75,22285.9,22285.9
2020-08-20,21979.25,22001.65,21979.25,21999.45
2020-08-21,22296.2,22299.6,22296.2,22299.6
2020-08-24,22815.6,22833,22811.35,22833
2020-08-25,23095.75,23095.75,23092.15,23092.15
2020-08-26,23423.75,23423.75,23414.2,23414.2
2020-08-27,23624.9,23625.1,23600.35,23600.35
2020-08-28,24573.9,24573.9,24523.8,24523.8
2020-08-31,23675.85,23754.35,23675.85,23754.35
2020-09-01,23857.4,23857.4,23812,23812
2020-09-02,23881.95,23881.95,23874.55,23874.55
2020-09-03,23568.1,23568.1,23530.85,23530.85
2020-09-04,23067.9,23067.9,23011.5,23011.5
2020-09-07,22971.6,22971.6,22945.05,22945.05
2020-09-08,22665.25,22744.4,22665.25,22744.4
2020-09-09,22298.75,22298.75,22267,22267
2020-09-10,22487.9,22488.1,22466.2,22466.2
2020-09-11,22512.2,22512.2,22479.95,22479.95
2020-09-14,22079,22101.25,22079,22101.25
2020-09-15,22500.65,22500.85,22465.65,22465.65
2020-09-16,22548.2,22573.55,22548.2,22573.55
2020-09-17,22325.05,22332.2,22320.35,22320.35
2020-09-18,22054,22054,22031.05,22031.05
2020-09-21,21305.95,21366.8,21305.95,21366.8
2020-09-22,21174,21174,21139.1,21139.1
2020-09-23,21231.75,21231.75,21178.5,21178.5
2020-09-24,20485.35,20485.35,20456.85,20456.85
2020-09-25,20942.6,20982.35,20942.6,20982.35
2020-09-28,21686.85,21686.85,21665.5,21665.5
2020-09-29,21441.95,21442.15,21411.3,21411.3
2020-09-30,21419.65,21451.8,21419.65,21451.8
2020-10-01,22231.2,22246,22231.2,22246
2020-10-05,22375.1,22375.1,22370.95,22370.95
2020-10-06,22842.5,22853.7,22840.55,22853.7
2020-10-07,22955.95,22967.75,22955.95,22964.8
2020-10-08,23178.75,23191.95,23178.75,23191.35
2020-10-09,23884.95,23884.95,23846.8,23846.8
2020-10-12,23712.8,23712.8,23712.8,23712.8
2020-10-13,23492.2,23492.2,23492.2,23492.2
2020-10-14,23874.65,23874.65,23874.65,23874.65
2020-10-15,23072,23072.4,23072,23072.4
2020-10-16,23533.25,23533.25,23533.25,23533.25
2020-10-19,24266.75,24266.75,24266.75,24266.75
2020-10-20,24311.8,24311.8,24311.8,24311.8
2020-10-21,24635.05,24635.05,24635.05,24635.05
2020-10-22,24484.15,24484.15,24484.15,24484.15
2020-10-23,24478.3,24478.3,24478.3,24478.3
2020-10-26,24075.45,24075.45,24075.45,24075.45
2020-10-27,24769.5,24769.5,24769.5,24769.5
2020-10-28,24232.5,24232.5,24232.5,24232.5
2020-10-29,24092,24092,24092,24092
2020-10-30,23908.8,23908.8,23900.9,23900.9
2020-11-02,24892.5,24892.5,24892.5,24892.5
2020-11-03,25682.8,25682.8,25682.8,25682.8
2020-11-04,25771.6,25771.6,25771.6,25771.6
2020-11-05,26313.1,26313.1,26313.1,26313.1
2020-11-06,26798.95,26798.95,26798.95,26798.95
2020-11-09,27534.1,27534.1,27534.1,27534.1
2020-11-10,28606,28606,28606,28606
2020-11-11,28845,28845,28845,28845
2020-11-12,28278.8,28278.8,28278.8,28278.8
2020-11-13,28465.7,28465.7,28465.7,28465.7
2020-11-14,28594.3,28594.3,28594.3,28594.3
2020-11-17,29181.3,29181.3,29181.3,29181.3
2020-11-18,29755.55,29755.55,29749.85,29749.85
2020-11-19,28903.05,28903.05,28903.05,28903.05
2020-11-20,29197.15,29236,29197.15,29236
2020-11-23,29024.2,29024.2,29024.2,29024.2
2020-11-24,29737.25,29737.25,29737.25,29737.25
2020-11-25,29184.85,29196.4,29184.85,29196.4
2020-11-26,29549.75,29549.75,29549.75,29549.75
2020-11-27,29587.45,29609.05,29554.85,29609.05
2020-12-01,29774.1,29788.1,29767.9,29786.35
2020-12-02,29420.7,29437.1,29415.85,29431.3
2020-12-03,29474.55,29493.9,29471.65,29484.35
2020-12-04,30145.95,30151.3,30134.85,30138.3
2020-12-07,30187.8,30210.5,30178.2,30189.2
2020-12-08,30250.45,30261.4,30237.4,30237.4
2020-12-09,30692.65,30706.75,30685.75,30695.2
2020-12-10,30508.85,30517.45,30495.45,30514.9
2020-12-11,30609.65,30610.95,30590.2,30600.8
2020-12-14,30746.1,30750.45,30740.2,30746.05
2020-12-15,30681.8,30685.6,30662.5,30662.5
2020-12-16,30670.15,30675.2,30663.1,30667.7
2020-12-17,30829.7,30846.15,30828.05,30835
2020-12-18,30664.15,30672.45,30652.45,30652.45
2020-12-21,29346.35,29347.45,29313.8,29332.3
